,,value
0,1979-01-01,668.2635918825781
0,1979-01-02,698.0944255779508
0,1979-01-03,836.8870376909465
0,1979-01-04,1151.4802245692476
0,1979-01-05,1349.7104039601472
0,1979-01-06,1127.2087744302198
0,1979-01-07,1053.7147813864985
0,1979-01-08,832.6618012335741
0,1979-01-09,588.5560560365469
0,1979-01-10,309.8017751847576
0,1979-01-11,-349.32316190722133
0,1979-01-12,-633.6575023757395
0,1979-01-13,-152.64319655838565
0,1979-01-14,-338.7987437339494
0,1979-01-15,-948.1139672894446
0,1979-01-16,-738.2573848559031
0,1979-01-17,-166.58123660193488
0,1979-01-18,-225.08911006625422
0,1979-01-19,-186.82278207025908
0,1979-01-20,1.5351605432903384
0,1979-01-21,-315.7624776273788
0,1979-01-22,-323.20311955494
0,1979-01-23,-383.44637141417826
0,1979-01-24,-1113.383953066908
0,1979-01-25,-911.2060107198783
0,1979-01-26,-375.38725663298516
0,1979-01-27,-474.3930052085394
0,1979-01-28,-236.39677592932682
0,1979-01-29,-467.62704876362875
0,1979-01-30,-579.98849216454
0,1979-01-31,-750.6826883610673
0,1979-02-01,-1034.3540534920987
0,1979-02-02,-868.2372297580002
0,1979-02-03,-477.3199527950164
0,1979-02-04,-312.4295140388601
0,1979-02-05,-860.4782163553497
0,1979-02-06,-923.5306334827637
0,1979-02-07,-1226.4413749273508
0,1979-02-08,-638.1287087256404
0,1979-02-09,-620.550239152481
0,1979-02-10,-861.8758440683047
0,1979-02-11,-850.4731313681467
0,1979-02-12,-888.9778455355856
0,1979-02-13,-1356.9723672238736
0,1979-02-14,-1480.0653616929642
0,1979-02-15,-709.5728351037164
0,1979-02-16,-688.4397686648116
0,1979-02-17,-764.6756818847542
0,1979-02-18,-834.4546326766945
0,1979-02-19,-801.2223269008499
0,1979-02-20,-759.6891869000253
0,1979-02-21,-1148.483580748514
0,1979-02-22,-1184.315908080785
0,1979-02-23,-1123.569375315077
0,1979-02-24,-930.3942695895277
0,1979-02-25,-423.241836864549
0,1979-02-26,-356.0037645203407
0,1979-02-27,-495.6492119260772
0,1979-02-28,-823.1244370504756
0,1979-03-01,-1164.2027277223551
0,1979-03-02,-989.9973447074738
0,1979-03-03,-213.05684848493024
0,1979-03-04,282.44120812240965
0,1979-03-05,617.6751789597074
0,1979-03-06,1299.5683297878345
0,1979-03-07,887.1124446180385
0,1979-03-08,991.0053396950598
0,1979-03-09,1659.6296238719826
0,1979-03-10,1561.2197898050276
0,1979-03-11,1241.3610959433777
0,1979-03-12,526.4611441339088
0,1979-03-13,904.1285055223957
0,1979-03-14,1249.2812328676655
0,1979-03-15,485.01832088331656
0,1979-03-16,-528.704859465003
0,1979-03-17,-352.9691794097548
0,1979-03-18,373.4753122152847
0,1979-03-19,1261.7472035870985
0,1979-03-20,1654.251893537165
0,1979-03-21,1215.500036842089
0,1979-03-22,1495.2540764407643
0,1979-03-23,1856.242592001409
0,1979-03-24,1122.3261376939113
0,1979-03-25,436.84592038400865
0,1979-03-26,-339.99466055367606
0,1979-03-27,-762.2228129320589
0,1979-03-28,-1129.7654238960633
0,1979-03-29,-1293.3094953512602
0,1979-03-30,-937.3863577345297
0,1979-03-31,-429.0961743448459
0,1979-04-01,-341.9189548328143
0,1979-04-02,-577.2978306301586
0,1979-04-03,-336.9595616357663
0,1979-04-04,-93.77797680290814
0,1979-04-05,226.43713851082347
0,1979-04-06,-279.24477295050485
0,1979-04-07,23.273839626719802
0,1979-04-08,6.091648212421345
0,1979-04-09,-572.4034901005934
0,1979-04-10,-569.0686450667235
0,1979-04-11,-562.7619711303433
0,1979-04-12,-358.8836462825878
0,1979-04-13,-510.7184286066216
0,1979-04-14,-389.3903960535204
0,1979-04-15,-540.1674888759072
0,1979-04-16,-516.3382001550899
0,1979-04-17,-498.8409719246096
0,1979-04-18,-346.94463437137165
0,1979-04-19,-232.78958811535185
0,1979-04-20,94.06140372797918
0,1979-04-21,459.5266277721418
0,1979-04-22,504.58242424463083
0,1979-04-23,528.3499080747954
0,1979-04-24,442.83466715206856
0,1979-04-25,791.2162051420947
0,1979-04-26,1148.7400636684615
0,1979-04-27,1139.0821508461638
